Premise,Hypothesis,Label
"The customer has several red flags, including a negative checking account balance",the customer is Bad credit,entailment
a loan duration longer than 50% of all cases in the bank,the customer is Bad credit,entailment
a loan amount higher than 50% of all cases in the bank,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
"Additionally, the customer has a history of being a skilled employee or resident, which may indicate a stable income, but the negative checking account balance and high loan amounts suggest financial difficulties",the customer is Bad credit,entailment
"The customer has several red flags, including a low balance in their checking account",the customer is Bad credit,entailment
a longer loan duration,the customer is Bad credit,entailment
a higher loan amount,the customer is Bad credit,entailment
a low balance in their saving account,the customer is Bad credit,entailment
a short employment history,the customer is Bad credit,entailment
a high installment rate,the customer is Bad credit,entailment
"Additionally, the customer's property is not a primary residence, they are not a homeowner, and they are a foreign worker, which may indicate financial instability and a higher risk of default",the customer is Bad credit,entailment
"The customer's creditworthiness is assessed as 'bad credit' due to the presence of several red flags, including a low balance in the saving account",the customer is Bad credit,entailment
a high installment rate in percentage of disposable income,the customer is Bad credit,entailment
a co-applicant for other debts,the customer is Bad credit,entailment
a store-based installment plan,the customer is Bad credit,entailment
and a telephone not registered under the customer's name,the customer is Bad credit,entailment
"The customer has several red flags, including a negative checking account balance",the customer is Bad credit,entailment
a loan amount higher than 50% of all cases in the bank,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
and a high installment rate in percentage of disposable income,the customer is Bad credit,entailment
"Additionally, the customer has a long-term employment history, which may indicate financial stability, but is offset by other negative attributes",the customer is Bad credit,entailment
The customer's foreign worker status and unknown property status also raise concerns,the customer is Bad credit,entailment
"The customer has several red flags, including a low balance in their checking account",the customer is Bad credit,entailment
a longer loan duration,the customer is Bad credit,entailment
"and a low balance in their saving account, indicating potential financial instability",the customer is Bad credit,entailment
"Additionally, the customer's installment rate is higher than 50% of all cases in the bank, suggesting a high level of debt",the customer is Bad credit,entailment
"The customer's age is also older than 50% of all cases in the bank, which may indicate a longer credit history",the customer is Bad credit,entailment
"Furthermore, the customer's job is a skilled employee or a resident, which may suggest a stable income, but the customer's housing status is not owning, and the customer is a foreign worker, which could indicate potential financial challenges.",the customer is Bad credit,entailment
"The customer has several red flags, including a low checking account balance",the customer is Bad credit,entailment
a higher loan amount,the customer is Bad credit,entailment
and an unemployed present employment status,the customer is Bad credit,entailment
"The customer has several red flags, including a negative checking account balance",the customer is Bad credit,entailment
a loan duration longer than 50% of all cases in the bank,the customer is Bad credit,entailment
a loan amount higher than 50% of all cases in the bank,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
and a short employment history,the customer is Bad credit,entailment
"Additionally, the customer's installment rate is higher than 50% of all cases in the bank, indicating a high level of debt, and they have other debtors as co-applicants, which increases the risk of default",the customer is Bad credit,entailment
"The customer's age is also younger than 50% of all cases in the bank, and they have no property, which suggests a lack of financial security",the customer is Bad credit,entailment
"The customer has several red flags, including a low balance in their checking account",the customer is Bad credit,entailment
The customer exhibits several risk factors such as low balances in both checking and saving accounts,the customer is  bad credit,entailment
a loan duration and amount that are higher than average,the customer is  bad credit,entailment
a relatively short employment history,the customer is  bad credit,entailment
young age,the customer is  bad credit,entailment
and lack of telephone registration under their name,the customer is  bad credit,entailment
"Additionally, being a foreign worker may introduce additional complexities in credit assessment",the customer is  bad credit,entailment
The customer's negative checking account balance,the customer is  bad credit,entailment
longer loan duration,the customer is  bad credit,entailment
high loan amount,the customer is  bad credit,entailment
low savings,the customer is  bad credit,entailment
"Additionally, the lack of property ownership, unregistered telephone, and status as a foreign worker further complicate their creditworthiness",the customer is  bad credit,entailment
and the absence of other debtors or installment plans does not compensate for the other negative factors,the customer is  bad credit,entailment
The employment status as a skilled employee or resident does not inherently improve creditworthiness in the context of these other adverse attributes,the customer is  bad credit,entailment
The customer exhibits several risk factors such as low balances in checking and savings accounts,the customer is  bad credit,entailment
unemployment,the customer is  bad credit,entailment
high installment rate relative to income,the customer is  bad credit,entailment
ownership of non-real estate assets,the customer is  bad credit,entailment
younger age,the customer is  bad credit,entailment
lack of skilled employment,the customer is  bad credit,entailment
"and unregistered telephone, all of which suggest financial instability and a higher likelihood of defaulting on financial obligations",the customer is  bad credit,entailment
"Additionally, being a foreign worker may introduce additional complexities in credit assessment due to potential legal and financial constraints",the customer is  bad credit,entailment
The absence of telephone registration and being a foreign worker may also indicate potential difficulties in verifying financial history and reliability,the customer is  bad credit,entailment
"The customer exhibits several red flags indicating poor financial health, including a negative checking account balance",the customer is  bad credit,entailment
a high loan amount relative to the bank's average,the customer is  bad credit,entailment
a low savings account balance,the customer is  bad credit,entailment
short-term employment,the customer is  bad credit,entailment
young age,the customer is  bad credit,entailment
lack of property ownership,the customer is  bad credit,entailment
and unregistered telephone,the customer is  bad credit,entailment
The customer's negative checking account balance,the customer is  bad credit,entailment
and high installment rate relative to income,the customer is  bad credit,entailment
"The lack of telephone registration under their name and being a foreign worker may also indicate potential difficulties in verifying and managing financial obligations, further contributing to a poor credit assessment",the customer is  bad credit,entailment
The customer's negative checking account balance,the customer is  bad credit,entailment
high installment rate relative to income,the customer is  bad credit,entailment
low savings,the customer is  bad credit,entailment
and young age,the customer is  bad credit,entailment
"combined with the lack of a telephone registered under their name and being a foreign worker, indicate a higher risk of default",the customer is  bad credit,entailment
The customer exhibits several risk factors such as low balances in both checking and saving accounts,the customer is  bad credit,entailment
a loan duration and amount that are above average,the customer is  bad credit,entailment
a high installment rate relative to disposable income,the customer is  bad credit,entailment
"Additionally, the customer is a foreign worker, which may introduce additional risks",the customer is  bad credit,entailment
The customer's negative checking account balance,the customer is  bad credit,entailment
high loan amount,the customer is  bad credit,entailment
and long loan duration,the customer is  bad credit,entailment
"The absence of other debtors and installment plans does not offset these negative indicators, leading to the conclusion of bad credit",the customer is  bad credit,entailment
The customer exhibits several risk factors such as low balances in checking and saving accounts,the customer is  bad credit,entailment
a short employment duration,the customer is  bad credit,entailment
a high installment rate relative to disposable income,the customer is  bad credit,entailment
"and being a younger demographic, which are indicative of potential financial instability and a higher risk of defaulting on financial obligations",the customer is  bad credit,entailment
"Additionally, the lack of a telephone registered under the customer's name and the status of being a foreign worker may further complicate creditworthiness assessments due to potential communication and legal considerations",the customer is  bad credit,entailment
The customer's financial status indicates several risk factors such as a low savings account balance,the customer is  bad credit,entailment
a high installment rate relative to disposable income,the customer is  bad credit,entailment
being a co-applicant for other debts,the customer is  bad credit,entailment
and having a foreign worker status,the customer is  bad credit,entailment
The lack of telephone registration under the customer's name could also imply a lower level of financial transparency or stability,the customer is  bad credit,entailment
"The customer exhibits several red flags indicating poor financial health, such as a negative checking account balance",the customer is  bad credit,entailment
high loan amounts and durations relative to the bank's average,the customer is  bad credit,entailment
a low savings account balance,the customer is  bad credit,entailment
and a high installment rate of disposable income,the customer is  bad credit,entailment
"The presence of other debtors, being a foreign worker, and having multiple liabilities also contribute to the risk profile",the customer is  bad credit,entailment
The customer exhibits several risk factors such as low balances in both checking and saving accounts,the customer is  bad credit,entailment
a high installment rate relative to disposable income,the customer is  bad credit,entailment
and a long loan duration compared to the average,the customer is  bad credit,entailment
"While the customer has stable employment and a long-standing job, the combination of these factors suggests a higher likelihood of financial instability",the customer is  bad credit,entailment
The absence of other debtors and installment plans does not compensate for these negative indicators,the customer is  bad credit,entailment
"The customer exhibits several red flags indicating poor financial health, such as a negative checking account balance",the customer is  bad credit,entailment
a high loan amount relative to the bank's average,the customer is  bad credit,entailment
a low savings account balance,the customer is  bad credit,entailment
short-term employment,the customer is  bad credit,entailment
a high installment rate,the customer is  bad credit,entailment
co-applicant status for other debts,the customer is  bad credit,entailment
unknown property status,the customer is  bad credit,entailment
young age,the customer is  bad credit,entailment
non-ownership of housing,the customer is  bad credit,entailment
a short loan duration,the customer is Bad credit,contradiction
a low loan amount,the customer is Bad credit,contradiction
and a low disposable income installment rate,the customer is Bad credit,contradiction
"The high loan amount and short loan duration suggest potential risk, while the foreign worker status and lack of a registered phone number raise further concerns",the customer is Bad credit,contradiction
a shorter loan duration than the average,the customer is Bad credit,contradiction
a lower loan amount than the average,the customer is Bad credit,contradiction
a low loan amount,the customer is Bad credit,contradiction
and a low installment rate compared to the average,the customer is Bad credit,contradiction
"Additionally, the high balance in checking and savings accounts, while not inherently bad, could indicate potential financial instability",the customer is Bad credit,contradiction
"Additionally, the low loan amount and short loan duration suggest a lack of financial stability and a history of borrowing",the customer is Bad credit,contradiction
a short loan duration,the customer is Bad credit,contradiction
a high installment rate as a percentage of disposable income,the customer is Good credit,contradiction
and being a foreign worker,the customer is Good credit,contradiction
a long-term loan,the customer is Good credit,contradiction
a high loan amount,the customer is Good credit,contradiction
non-ownership of housing,the customer is Good credit,contradiction
"Additionally, being a foreign worker is also considered a positive attribute",the customer is Good credit,contradiction
a long-term loan assignment,the customer is Good credit,contradiction
a high loan amount,the customer is Good credit,contradiction
and is a foreign worker,the customer is Good credit,contradiction
a low installment rate as a percentage of disposable income,the customer is Bad credit,contradiction
"Additionally, the customer has a car as their primary property, is older than the average age, and has a high number of people relying on them for maintenance, which may indicate financial strain",the customer is Bad credit,contradiction
a high loan amount,the customer is Good credit,contradiction
and is a foreign worker,the customer is Good credit,contradiction
a short loan duration,the customer is Bad credit,contradiction
a low loan amount,the customer is Bad credit,contradiction
a low installment rate as a percentage of disposable income,the customer is Bad credit,contradiction
"Additionally, the customer's employment status is relatively short-term, and they have a car as their primary property, which may indicate a lack of financial stability",the customer is Bad credit,contradiction
a short loan duration,the customer is Bad credit,contradiction
a low loan amount,the customer is Bad credit,contradiction
a low installment rate as a percentage of disposable income,the customer is Bad credit,contradiction
a long-term loan assignment,the customer is Good credit,contradiction
a high loan amount,the customer is Good credit,contradiction
a high installment rate,the customer is Good credit,contradiction
and is a foreign worker,the customer is Good credit,contradiction
"Additionally, the customer's installment rate is lower than 50% of all cases in the bank, and they have a high number of people being liable to provide maintenance for",the customer is Bad credit,contradiction
a long-term loan assignment,the customer is Good credit,contradiction
a high loan amount,the customer is Good credit,contradiction
a young age,the customer is Good credit,contradiction
and is a foreign worker,the customer is Good credit,contradiction
a low balance in their saving account,the customer is Good credit,contradiction
a high installment rate in percentage of disposable income,the customer is Good credit,contradiction
"Additionally, the customer's loan duration is shorter than 50% of all cases in the bank, which could suggest a higher risk of default",the customer is Bad credit,contradiction
a short loan duration,the customer is Bad credit,contradiction
The long loan duration and low installment rate relative to disposable income also suggest difficulty in managing debt,the customer is  bad credit,contradiction
a low installment rate,the customer is  bad credit,contradiction
older age,the customer is  bad credit,contradiction
a loan duration and amount that are below average,the customer is  bad credit,contradiction
a low installment rate,the customer is  bad credit,contradiction
a loan duration shorter than half of all cases may imply a higher risk of default,the customer is  bad credit,contradiction
a low loan amount could indicate limited borrowing capacity,the customer is  bad credit,contradiction
low installment rate relative to income,the customer is  bad credit,contradiction
and the age being older than 50% of all cases may imply a shorter credit history,the customer is  bad credit,contradiction
a loan duration shorter than half of all cases may imply a higher risk of default,the customer is  bad credit,contradiction
a low loan amount could indicate limited borrowing capacity,the customer is  bad credit,contradiction
a low installment rate relative to disposable income may not cover loan repayments,the customer is  bad credit,contradiction
A negative checking account balance,the customer is Bad credit,entailment
and a high installment rate exceeding 50% of disposable income all point towards financial instability,the customer is Bad credit,entailment
"Additionally, being a foreign worker and having a high number of dependents to support further raises concerns about their ability to manage financial obligations",the customer is Bad credit,entailment
The combination of a foreign worker status,the customer is Bad credit,entailment
low savings balance,the customer is Bad credit,entailment
and a high loan-to-income ratio suggests potential financial instability,the customer is Bad credit,entailment
"Additionally,  the lack of a registered phone number and the presence of other installment plans raise concerns about the customer's ability to manage their financial obligations",the customer is Bad credit,entailment
a negative checking account balance,the customer is Bad credit,entailment
a long loan duration exceeding the majority of cases,the customer is Bad credit,entailment
a high loan amount exceeding the majority of cases,the customer is Bad credit,entailment
a low balance in their saving account,the customer is Bad credit,entailment
and a foreign worker status,the customer is Bad credit,entailment
The high loan amount and duration,the customer is Bad credit,entailment
"coupled with a foreign worker status, suggest a higher risk profile",the customer is Bad credit,entailment
"Additionally,  the lack of property ownership and the presence of other installment plans raise concerns about financial stability and debt management",the customer is Bad credit,entailment
The high loan amount and duration,the customer is Bad credit,entailment
"coupled with a foreign worker status, suggest potential financial instability",the customer is Bad credit,entailment
The lack of a registered phone number and the presence of other installment plans further raise concerns,the customer is Bad credit,entailment
low balance in both checking and savings accounts,the customer is Bad credit,entailment
a long loan duration exceeding the majority of cases,the customer is Bad credit,entailment
a high loan amount exceeding the majority of cases,the customer is Bad credit,entailment
"Additionally, the customer is a foreign worker, which can be a significant factor in creditworthiness assessments",the customer is Bad credit,entailment
low balance in both checking and savings accounts,the customer is Bad credit,entailment
and a foreign worker status,the customer is Bad credit,entailment
a negative checking account balance,the customer is Bad credit,entailment
a short loan duration,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
and a foreign worker status,the customer is Bad credit,entailment
"Additionally, the low disposable income and the presence of other debtors further contribute to the negative assessment",the customer is Bad credit,entailment
The high loan amount,the customer is Bad credit,entailment
long loan duration,the customer is Bad credit,entailment
and high installment rate suggest a high risk of default,the customer is Bad credit,entailment
"Additionally, the foreign worker status and lack of a registered phone number raise concerns about the customer's reliability and ability to manage financial obligations",the customer is Bad credit,entailment
a negative checking account balance,the customer is Bad credit,entailment
a long loan duration exceeding the average,the customer is Bad credit,entailment
a high loan amount exceeding the average,the customer is Bad credit,entailment
a short employment history,the customer is Bad credit,entailment
"Additionally, the foreign worker status and lack of registered phone number further contribute to a negative assessment",the customer is Bad credit,entailment
The high loan amount and duration,the customer is Bad credit,entailment
"coupled with a foreign worker status, suggest a higher risk profile",the customer is Bad credit,entailment
The high installment rate exceeding 50% of disposable income,the customer is Bad credit,entailment
"coupled with a foreign worker status, suggests potential financial instability",the customer is Bad credit,entailment
"Additionally, the low balance in the saving account and the high loan amount compared to the average in the bank point towards a potentially risky financial profile",the customer is Bad credit,entailment
a negative checking account balance,the customer is Bad credit,entailment
a loan duration shorter than the average,the customer is Bad credit,entailment
a loan amount exceeding the average,the customer is Bad credit,entailment
and a history of being a foreign worker,the customer is Bad credit,entailment
a negative checking account balance,the customer is Bad credit,entailment
a short employment history,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
and a high installment rate compared to their disposable income,the customer is Bad credit,entailment
"Additionally, the lack of a registered phone number and the fact that they are not a homeowner further contribute to a negative assessment",the customer is Bad credit,entailment
low balance in both checking and savings accounts,the customer is Bad credit,entailment
short employment history,the customer is Bad credit,entailment
and a foreign worker status,the customer is Bad credit,entailment
They have a high checking account balance,the customer is Good credit,entailment
a shorter loan duration than average,the customer is Good credit,entailment
a lower loan amount than average,the customer is Good credit,entailment
a high savings account balance,the customer is Good credit,entailment
a stable employment history,the customer is Good credit,entailment
a low installment rate,the customer is Good credit,entailment
no other outstanding debts,the customer is Good credit,entailment
own housing,the customer is Good credit,entailment
"The customer has several red flags, including a high savings account balance",the customer is Good credit,entailment
long-term employment,the customer is Good credit,entailment
no other debtors,the customer is Good credit,entailment
owning a property,the customer is Good credit,entailment
being a skilled employee or resident,the customer is Good credit,entailment
and having a registered telephone under their name,the customer is Good credit,entailment
"The customer has several red flags, including a high salary assignment duration",the customer is Good credit,entailment
a short loan duration,the customer is Good credit,entailment
a low loan amount,the customer is Good credit,entailment
a long-term employment history,the customer is Good credit,entailment
a low installment rate as a percentage of disposable income,the customer is Good credit,entailment
no other debtors,the customer is Good credit,entailment
a property ownership status,the customer is Good credit,entailment
an age above the median,the customer is Good credit,entailment
no other installment plans,the customer is Good credit,entailment
a housing status of being the owner,the customer is Good credit,entailment
a job as a skilled employee or resident,the customer is Good credit,entailment
a sufficient number of people to provide maintenance,the customer is Good credit,entailment
"The customer has several red flags,including a negative checking account balance",the customer is Bad credit,entailment
a loan amount higher than 50% of all cases in the bank,the customer is Bad credit,entailment
a low saving account balance,the customer is Bad credit,entailment
and a telephone not registered under their name. Additionally,the customer is Bad credit,entailment
"the customer is a foreign worker, which may indicate financial instability or difficulties in managing finances in a new country.",the customer is Bad credit,entailment
The customer has a high checking account balance,the customer is Good credit,entailment
a high saving account balance,the customer is Good credit,entailment
a stable employment history,the customer is Good credit,entailment
a low installment rate,the customer is Good credit,entailment
no other debtors,the customer is Good credit,entailment
unknown or no property,the customer is Good credit,entailment
an age above the average,the customer is Good credit,entailment
no other installment plans,the customer is Good credit,entailment
